### The result of the verage over time 
### d tau = 1e-05
### number of kessence update = 1
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
 0.642703	        0 0	        0	 (32 , 32 , 32) 
 0.642713	        0 0	0.000562868	 (32 , 32 , 32) 
 0.642714	0.00294195 0.0127497	2.36653e+07	 (32 , 32 , 32) 
 0.642716	  73.7291 319.528	1.29516e+18	 (32 , 32 , 32) 
 0.642717	-1.56129e+12 -8.76203e+12	7.624e+38	 (32 , 32 , 32) 
 0.642719	1.46028e+34 -1.53444e+34	1.13551e+80	 (32 , 32 , 32) 
 0.642721	1.72867e+75 7.10315e+76	6.96907e+161	 (32 , 32 , 32) 
 0.642722	1.65045e+161 -3.15488e+161	      inf	 (32 , 32 , 32) 
 0.642724	      nan nan	      nan	 (32 , 32 , 32) 
 0.642725	      nan nan	      nan	 (32 , 32 , 32) 
 0.642727	      nan nan	      nan	 (32 , 32 , 32) 
 0.642728	      nan nan	      nan	 (32 , 32 , 32) 
  0.64273	      nan nan	      nan	 (32 , 32 , 32) 
 0.642732	      nan nan	      nan	 (32 , 32 , 32) 
 0.642733	      nan nan	      nan	 (32 , 32 , 32) 
 0.642735	      nan nan	      nan	 (32 , 32 , 32) 
 0.642736	      nan nan	      nan	 (32 , 32 , 32) 
 0.642738	      nan nan	      nan	 (32 , 32 , 32) 
 0.642739	      nan nan	      nan	 (32 , 32 , 32) 
 0.642741	      nan nan	      nan	 (32 , 32 , 32) 
 0.642742	      nan nan	      nan	 (32 , 32 , 32) 
 0.642744	      nan nan	      nan	 (32 , 32 , 32) 
 0.642746	      nan nan	      nan	 (32 , 32 , 32) 
 0.642747	      nan nan	      nan	 (32 , 32 , 32) 
 0.642749	      nan nan	      nan	 (32 , 32 , 32) 
  0.64275	      nan nan	      nan	 (32 , 32 , 32) 
 0.642752	      nan nan	      nan	 (32 , 32 , 32) 
 0.642753	      nan nan	      nan	 (32 , 32 , 32) 
 0.642755	      nan nan	      nan	 (32 , 32 , 32) 
 0.642757	      nan nan	      nan	 (32 , 32 , 32) 
 0.642758	      nan nan	      nan	 (32 , 32 , 32) 
  0.64276	      nan nan	      nan	 (32 , 32 , 32) 
 0.642761	      nan nan	      nan	 (32 , 32 , 32) 
 0.642763	      nan nan	      nan	 (32 , 32 , 32) 
 0.642764	      nan nan	      nan	 (32 , 32 , 32) 
 0.642766	      nan nan	      nan	 (32 , 32 , 32) 
 0.642767	      nan nan	      nan	 (32 , 32 , 32) 
 0.642769	      nan nan	      nan	 (32 , 32 , 32) 
 0.642771	      nan nan	      nan	 (32 , 32 , 32) 
 0.642772	      nan nan	      nan	 (32 , 32 , 32) 
 0.642774	      nan nan	      nan	 (32 , 32 , 32) 
 0.642775	      nan nan	      nan	 (32 , 32 , 32) 
 0.642777	      nan nan	      nan	 (32 , 32 , 32) 
 0.642778	      nan nan	      nan	 (32 , 32 , 32) 
  0.64278	      nan nan	      nan	 (32 , 32 , 32) 
 0.642782	      nan nan	      nan	 (32 , 32 , 32) 
 0.642783	      nan nan	      nan	 (32 , 32 , 32) 
 0.642785	      nan nan	      nan	 (32 , 32 , 32) 
 0.642786	      nan nan	      nan	 (32 , 32 , 32) 
 0.642788	      nan nan	      nan	 (32 , 32 , 32) 
 0.642789	      nan nan	      nan	 (32 , 32 , 32) 
 0.642791	      nan nan	      nan	 (32 , 32 , 32) 
 0.642792	      nan nan	      nan	 (32 , 32 , 32) 
 0.642794	      nan nan	      nan	 (32 , 32 , 32) 
 0.642796	      nan nan	      nan	 (32 , 32 , 32) 
 0.642797	      nan nan	      nan	 (32 , 32 , 32) 
 0.642799	      nan nan	      nan	 (32 , 32 , 32) 
   0.6428	      nan nan	      nan	 (32 , 32 , 32) 
 0.642802	      nan nan	      nan	 (32 , 32 , 32) 
 0.642803	      nan nan	      nan	 (32 , 32 , 32) 
 0.642805	      nan nan	      nan	 (32 , 32 , 32) 
 0.642807	      nan nan	      nan	 (32 , 32 , 32) 
 0.642808	      nan nan	      nan	 (32 , 32 , 32) 
  0.64281	      nan nan	      nan	 (32 , 32 , 32) 
 0.642811	      nan nan	      nan	 (32 , 32 , 32) 
 0.642813	      nan nan	      nan	 (32 , 32 , 32) 
 0.642814	      nan nan	      nan	 (32 , 32 , 32) 
 0.642816	      nan nan	      nan	 (32 , 32 , 32) 
 0.642817	      nan nan	      nan	 (32 , 32 , 32) 
 0.642819	      nan nan	      nan	 (32 , 32 , 32) 
 0.642821	      nan nan	      nan	 (32 , 32 , 32) 
 0.642822	      nan nan	      nan	 (32 , 32 , 32) 
 0.642824	      nan nan	      nan	 (32 , 32 , 32) 
 0.642825	      nan nan	      nan	 (32 , 32 , 32) 
 0.642827	      nan nan	      nan	 (32 , 32 , 32) 
 0.642828	      nan nan	      nan	 (32 , 32 , 32) 
  0.64283	      nan nan	      nan	 (32 , 32 , 32) 
 0.642832	      nan nan	      nan	 (32 , 32 , 32) 
 0.642833	      nan nan	      nan	 (32 , 32 , 32) 
 0.642835	      nan nan	      nan	 (32 , 32 , 32) 
 0.642836	      nan nan	      nan	 (32 , 32 , 32) 
 0.642838	      nan nan	      nan	 (32 , 32 , 32) 
 0.642839	      nan nan	      nan	 (32 , 32 , 32) 
 0.642841	      nan nan	      nan	 (32 , 32 , 32) 
 0.642842	      nan nan	      nan	 (32 , 32 , 32) 
